time,temperature,mg,si,cu,fe,cr,mn,zn,ti,log_time,mg_si_ratio,thermal_budget,yield_strength
0.01,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.3030280073635805,4.508992426113121,105.5374662
0.5,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,-0.3010299956639812,0.3030280073635805,183.73651373921467,156.3518039
1.0,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3030280073635805,314.0996448707392,202.2801482
4.0,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.3030280073635805,729.3167900195125,260.4234572
8.0,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.9030899869919436,0.3030280073635805,995.672317219908,268.7296495
24.0,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,1.380211241711606,0.3030280073635805,1458.633580039025,259.4462455
0.01,180.0,0.4,0.72,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.5555478396133388,4.508992426113121,68.40388739
0.5,180.0,0.4,0.72,0.0,0.0,0.0,0.0,0.0,0.0,-0.3010299956639812,0.5555478396133388,183.73651373921467,87.45930595
1.0,180.0,0.4,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555478396133388,314.0996448707392,130.4560432
4.0,180.0,0.4,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.5555478396133388,729.3167900195125,233.0619022
8.0,180.0,0.4,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.9030899869919436,0.5555478396133388,995.672317219908,238.4364874
24.0,180.0,0.4,0.72,0.0,0.0,0.0,0.0,0.0,0.0,1.380211241711606,0.5555478396133388,1458.633580039025,229.153102
0.01,180.0,0.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.4285204099853577,4.508992426113121,28.33877598
0.5,180.0,0.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,-0.3010299956639812,1.4285204099853577,183.73651373921467,29.31595973
1.0,180.0,0.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285204099853577,314.0996448707392,29.31595973
4.0,180.0,0.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,1.4285204099853577,729.3167900195125,90.87948634
